variant,m,game,repeat,Bhat,true_loss,covered,tightness
Pi1,500,0,22,1.2451175540350659,0.39840901505370474,1,3.125224347313593
Pi1,500,0,23,1.2204211761468071,0.39840901505370474,1,3.0632368496538582
Pi1,500,0,24,1.0798645277190664,0.39840901505370474,1,2.7104420003485683
Pi1,500,0,25,1.2696036492661102,0.39840901505370474,1,3.186684039001904
Pi1,500,0,26,1.1359237936118372,0.39840901505370474,1,2.851149825158241
Pi1,500,0,27,1.172679168069629,0.39840901505370474,1,2.943405203598503
Pi1,500,0,28,1.2749665779008619,0.39840901505370474,1,3.2001449006594362
Pi1,500,0,29,1.0848055196735544,0.39840901505370474,1,2.7228438079578217
Pi1,500,0,30,1.0709788084478853,0.39840901505370474,1,2.6881389927974384
Pi1,500,0,31,1.0652117457102783,0.39840901505370474,1,2.6736637612647645
Pi1,500,0,32,1.247109982579392,0.39840901505370474,1,3.1302253098145485
Pi1,500,0,33,1.108385472047369,0.39840901505370474,1,2.7820290961487424
Pi1,500,0,34,1.232769110065234,0.39840901505370474,1,3.094229958373455
Pi1,500,0,35,1.1755419003128023,0.39840901505370474,1,2.950590613905515
Pi1,500,0,36,1.3101495975117898,0.39840901505370474,1,3.2884536945911838
Pi1,500,0,37,1.2256022782999514,0.39840901505370474,1,3.0762413298673543
Pi1,500,0,38,1.286655560539225,0.39840901505370474,1,3.229484052628142
Pi1,500,0,39,0.9487629734514322,0.39840901505370474,1,2.381379280093702
Pi1,500,0,40,1.2494427682528995,0.39840901505370474,1,3.1360805630476936
Pi1,500,0,41,1.2119456373178112,0.39840901505370474,1,3.041963388189003
Pi1,500,0,42,1.2439463592313695,0.39840901505370474,1,3.122284667839878
Pi1,500,0,43,1.1571857060888429,0.39840901505370474,1,2.9045168717702246
Pi1,500,0,44,1.271101850425524,0.39840901505370474,1,3.190444498988513
Pi1,500,0,45,1.2784778961124628,0.39840901505370474,1,3.2089582509575654
Pi1,500,0,46,1.0417875798202996,0.39840901505370474,1,2.6148694945566646
Pi1,500,0,47,1.4101983090199557,0.39840901505370474,1,3.5395742961033747
Pi1,500,0,48,1.2663009719749079,0.39840901505370474,1,3.178394373943102
Pi1,500,0,49,1.1289555747226672,0.39840901505370474,1,2.8336597116671323
Pi1,1500,0,0,0.9607352365540577,0.39840901505370474,1,2.4114294613151577
Pi1,1500,0,1,0.985143214754533,0.39840901505370474,1,2.472693080556266
Pi1,1500,0,2,0.9039416388284057,0.39840901505370474,1,2.2688784758210256
Pi1,1500,0,3,0.9979461914601176,0.39840901505370474,1,2.5048283391017057
Pi1,1500,0,4,0.9432242583372559,0.39840901505370474,1,2.3674771972971325
Pi1,1500,0,5,1.0880231821031683,0.39840901505370474,1,2.730920087128312
Pi1,1500,0,6,0.9145184173823172,0.39840901505370474,1,2.295426014039973
Pi1,1500,0,7,1.0471529475859183,0.39840901505370474,1,2.628336478392097
Pi1,1500,0,8,1.0044618770531888,0.39840901505370474,1,2.5211826015477823
Pi1,1500,0,9,0.9528247515671038,0.39840901505370474,1,2.3915742755938014
Pi1,1500,0,10,1.000183173467619,0.39840901505370474,1,2.51044312672693
Pi1,1500,0,11,0.9763195405796881,0.39840901505370474,1,2.4505458051647806
Pi1,1500,0,12,0.892542235259459,0.39840901505370474,1,2.240266162499225
Pi1,1500,0,13,0.9065619142987246,0.39840901505370474,1,2.275455323661594
Pi1,1500,0,14,1.043247658598473,0.39840901505370474,1,2.61853426800055
Pi1,1500,0,15,1.026042050091443,0.39840901505370474,1,2.575348476874035
Pi1,1500,0,16,0.9948557656102531,0.39840901505370474,1,2.4970714216297254
Pi1,1500,0,17,1.1589317091029374,0.39840901505370474,1,2.9088993102897427
Pi1,1500,0,18,0.9592170444476991,0.39840901505370474,1,2.407618824384279
Pi1,1500,0,19,0.9269857409479376,0.39840901505370474,1,2.326718788787904
Pi1,1500,0,20,1.005817637261775,0.39840901505370474,1,2.524585537117409
Pi1,1500,0,21,1.0095581556656317,0.39840901505370474,1,2.5339741760852106
Pi1,1500,0,22,0.9812743411565894,0.39840901505370474,1,2.4629822721865757
Pi1,1500,0,23,0.8970787261929243,0.39840901505370474,1,2.25165267927484
Pi1,1500,0,24,0.9714510603346049,0.39840901505370474,1,2.4383260007398557
Pi1,1500,0,25,1.0363691734768483,0.39840901505370474,1,2.601269384773203
Pi1,1500,0,26,0.8869417160633116,0.39840901505370474,1,2.2262089524850577
Pi1,1500,0,27,1.0518924013754796,0.39840901505370474,1,2.640232428560098
Pi1,1500,0,28,0.8686035621013809,0.39840901505370474,1,2.180180491107348
Pi1,1500,0,29,0.9343868906493104,0.39840901505370474,1,2.3452955514155645
Pi1,1500,0,30,0.977479802742786,0.39840901505370474,1,2.4534580438924647
Pi1,1500,0,31,0.9991854351003072,0.39840901505370474,1,2.507938820022983
Pi1,1500,0,32,1.0153210270204054,0.39840901505370474,1,2.548438887316699
Pi1,1500,0,33,0.9921269245700627,0.39840901505370474,1,2.490222076014836
Pi1,1500,0,34,1.0134644255093115,0.39840901505370474,1,2.5437788484095885
Pi1,1500,0,35,0.9601621618124973,0.39840901505370474,1,2.4099910532473
Pi1,1500,0,36,0.985256601812276,0.39840901505370474,1,2.472977680184936
Pi1,1500,0,37,0.8960188447851427,0.39840901505370474,1,2.2489923945731025
Pi1,1500,0,38,0.9587255566386753,0.39840901505370474,1,2.4063851981598385
Pi1,1500,0,39,0.9440997958677599,0.39840901505370474,1,2.3696747819335795
Pi1,1500,0,40,0.9938657096987914,0.39840901505370474,1,2.4945863977621596
Pi1,1500,0,41,0.9938085601002595,0.39840901505370474,1,2.4944429532205645
Pi1,1500,0,42,1.0723613448718277,0.39840901505370474,1,2.6916091362221697
Pi1,1500,0,43,0.9880167520007809,0.39840901505370474,1,2.479905611241247
Pi1,1500,0,44,0.9808172758752186,0.39840901505370474,1,2.461835045933904
