witness,seed,S,A,H,N,occupancy_max_err,cert_err,description,closed_form,ctilde_computed,cstar_computed,true_loss,err_Ctilde_eq_Cstar,ctilde_ge_true,c0,err_C0_eq_Cstar,gap_Ctilde_minus_true,total_ts_checked,collapsed_count,non_collapsed,max_prefix_action_dist_diff
Ctilde_closed_form,8,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.4598474388684651,0.4598474388684651,0.9197424676044497,0.4517262832277192,,1.0,,,0.008121155640745892,,,,
Ctilde_closed_form,9,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.44803984005505,0.44803984005505,0.947422741890966,0.44294467296646406,,1.0,,,0.005095167088585928,,,,
Ctilde_closed_form,10,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.3161817794637119,0.3161817794637119,0.6707778176433841,0.3093421084432521,,1.0,,,0.006839671020459792,,,,
Ctilde_closed_form,11,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.35297674143908075,0.35297674143908075,0.6607061146216227,0.34961529036197386,,1.0,,,0.0033614510771068917,,,,
Ctilde_closed_form,12,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.5542832132572635,0.5542832132572635,1.0889586185356475,0.5512902260898843,,1.0,,,0.0029929871673791686,,,,
Ctilde_closed_form,13,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.4030241994680273,0.4030241994680273,0.7681050319804322,0.39325970340159144,,1.0,,,0.009764496066435868,,,,
Ctilde_closed_form,14,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.42217150715650814,0.42217150715650814,0.8464659566846777,0.41737917751800396,,1.0,,,0.004792329638504178,,,,
Ctilde_closed_form,15,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.3588565757831676,0.3588565757831676,0.6875260947867036,0.3541703840946437,,1.0,,,0.004686191688523911,,,,
Ctilde_closed_form,16,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.2622338239788355,0.2622338239788355,0.5719556137992717,0.26041021166302947,,1.0,,,0.0018236123158060225,,,,
Ctilde_closed_form,17,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.4149529925517287,0.4149529925517287,0.8678312549000309,0.4092215235461871,,1.0,,,0.005731469005541556,,,,
Ctilde_closed_form,18,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.4647862271170229,0.4647862271170229,0.8258438981063443,0.4554566166874658,,1.0,,,0.0093296104295571,,,,
Ctilde_closed_form,19,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.3545714794798934,0.3545714794798934,0.748534220937034,0.3506999427451909,,1.0,,,0.00387153673470253,,,,
non_collapsed,0,4,3,4,5,0.0,0.0,distinct alpha per prefix => action dist differs by prefix (not collapsed),0.0,0.4529291686422445,0.9376092380631041,0.4399787267979298,,,,,,4.0,0.0,1.0,0.18350326822916674
non_collapsed,1,4,3,4,5,0.0,0.0,distinct alpha per prefix => action dist differs by prefix (not collapsed),0.0,0.4192323996681846,0.8100284021294885,0.4116171011734871,,,,,,4.0,0.0,1.0,0.18350326822916674
non_collapsed,2,4,3,4,5,0.0,0.0,distinct alpha per prefix => action dist differs by prefix (not collapsed),0.0,0.4657565736278009,0.9058377772275291,0.4587479141845939,,,,,,4.0,0.0,1.0,0.18350326822916674
non_collapsed,3,4,3,4,5,0.0,0.0,distinct alpha per prefix => action dist differs by prefix (not collapsed),0.0,0.33509299639936907,0.6935484582381433,0.3272369304663899,,,,,,4.0,0.0,1.0,0.18350326822916674
non_collapsed,4,4,3,4,5,0.0,0.0,distinct alpha per prefix => action dist differs by prefix (not collapsed),0.0,0.38566832393694406,0.7914673345161759,0.37761897075576123,,,,,,4.0,0.0,1.0,0.18350326822916674
