episode,t,agent,F,score
130,7,agent_1,1,1.1841144561767578
226,5,agent_2,1,1.1841087341308594
54,6,agent_0,1,1.1813163757324219
282,4,agent_2,1,1.1788978576660156
259,11,agent_2,1,1.1779184341430664
67,7,agent_1,1,1.1770095825195312
119,5,agent_1,1,1.1744918823242188
259,15,agent_0,1,1.172262191772461
146,0,agent_0,1,1.1715812683105469
52,4,agent_1,1,1.1701812744140625
133,14,agent_2,1,1.1690940856933594
126,16,agent_1,1,1.1690149307250977
4,0,agent_0,1,1.1679668426513672
178,8,agent_0,1,1.1677370071411133
271,9,agent_1,1,1.1663122177124023
61,10,agent_1,1,1.1647510528564453
159,3,agent_1,1,1.1646480560302734
256,16,agent_0,1,1.1645088195800781
97,3,agent_1,1,1.1638202667236328
42,8,agent_0,1,1.161600112915039
112,0,agent_2,1,1.1593093872070312
237,3,agent_0,1,1.157735824584961
252,0,agent_2,1,1.1556663513183594
45,9,agent_1,1,1.1542234420776367
