bound_type,game,repeat,Bhat,true_loss,covered,ratio_L
naive_plugin,0,37,0.23042066636254077,0.24977955816733002,0,0.9224960923670923
empirical_bernstein,0,38,0.3014877694061575,0.24977955816733002,1,1.2070153843581852
hoeffding,0,38,0.3812856378580426,0.24977955816733002,1,1.526488559174307
clipped_empirical_bernstein,0,38,0.2961460363868111,0.24977955816733002,1,1.185629594990394
naive_plugin,0,38,0.24580897672436663,0.24977955816733002,0,0.9841036573525226
empirical_bernstein,0,39,0.30738928531441323,0.24977955816733002,1,1.23064228141716
hoeffding,0,39,0.3876971092457425,0.24977955816733002,1,1.552157078386775
clipped_empirical_bernstein,0,39,0.2971967205088123,0.24977955816733002,1,1.1898360405847024
naive_plugin,0,39,0.25222044811206656,0.24977955816733002,1,1.0097721765649907
empirical_bernstein,0,40,0.337758656496428,0.24977955816733002,1,1.3522269755564218
hoeffding,0,40,0.4143286979622867,0.24977955816733002,1,1.658777447611319
clipped_empirical_bernstein,0,40,0.3309899681546835,0.24977955816733002,1,1.3251283274868704
naive_plugin,0,40,0.27885203682861076,0.24977955816733002,1,1.1163925457895347
empirical_bernstein,0,41,0.28370041984886546,0.24977955816733002,1,1.1358031935456123
hoeffding,0,41,0.3649218498756185,0.24977955816733002,1,1.4609756400928269
clipped_empirical_bernstein,0,41,0.26948304588139305,0.24977955816733002,1,1.078883507756321
naive_plugin,0,41,0.2294451887419425,0.24977955816733002,0,0.9185907382710425
empirical_bernstein,0,42,0.29512609293806263,0.24977955816733002,1,1.1815462206092722
hoeffding,0,42,0.37618776910780016,0.24977955816733002,1,1.5060790877682149
clipped_empirical_bernstein,0,42,0.282863954422662,0.24977955816733002,1,1.132454378965505
naive_plugin,0,42,0.2407111079741242,0.24977955816733002,0,0.9636941859464305
empirical_bernstein,0,43,0.3095753270578407,0.24977955816733002,1,1.2393941655163503
hoeffding,0,43,0.3897502768649989,0.24977955816733002,1,1.5603769969194237
clipped_empirical_bernstein,0,43,0.2977573275522217,0.24977955816733002,1,1.192080447803302
naive_plugin,0,43,0.25427361573132296,0.24977955816733002,1,1.0179920950976393
empirical_bernstein,0,44,0.3124544557837785,0.24977955816733002,1,1.2509208442688569
hoeffding,0,44,0.3910761394193612,0.24977955816733002,1,1.5656851276731585
clipped_empirical_bernstein,0,44,0.3064560639361491,0.24977955816733002,1,1.226906101462678
naive_plugin,0,44,0.25559947828568524,0.24977955816733002,1,1.0233002258513741
empirical_bernstein,0,45,0.32453571062585945,0.24977955816733002,1,1.2992885126670353
hoeffding,0,45,0.40235697242800444,0.24977955816733002,1,1.6108482831027395
clipped_empirical_bernstein,0,45,0.31238781492202244,0.24977955816733002,1,1.2506540455674537
naive_plugin,0,45,0.2668803112943285,0.24977955816733002,1,1.0684633812809552
empirical_bernstein,0,46,0.30552021918900185,0.24977955816733002,1,1.2231594187716937
hoeffding,0,46,0.3857208869382107,0.24977955816733002,1,1.5442452127319888
clipped_empirical_bernstein,0,46,0.29136610811393476,0.24977955816733002,1,1.1664930078815556
naive_plugin,0,46,0.25024422580453476,0.24977955816733002,1,1.0018603109102044
empirical_bernstein,0,47,0.28969376943293346,0.24977955816733002,1,1.1597977494974367
hoeffding,0,47,0.37183943579632583,0.24977955816733002,1,1.488670404113801
clipped_empirical_bernstein,0,47,0.27691551845645246,0.24977955816733002,1,1.1086396360383652
naive_plugin,0,47,0.23636277466264988,0.24977955816733002,0,0.9462855022920167
empirical_bernstein,0,48,0.3451857726403146,0.24977955816733002,1,1.3819616592045971
hoeffding,0,48,0.421969660009615,0.24977955816733002,1,1.6893682697882466
clipped_empirical_bernstein,0,48,0.33895440666802207,0.24977955816733002,1,1.3570141974586762
naive_plugin,0,48,0.28649299887593904,0.24977955816733002,1,1.1469833679664623
empirical_bernstein,0,49,0.29104923105630087,0.24977955816733002,1,1.1652243810172962
hoeffding,0,49,0.37174694171634726,0.24977955816733002,1,1.488300101272939
clipped_empirical_bernstein,0,49,0.27898693892070475,0.24977955816733002,1,1.1169326303868645
naive_plugin,0,49,0.23627028058267133,0.24977955816733002,0,0.9459151994511549
