eta,game,true_loss,cert_failure_only,cert_success_inclusive,viol_failure_only,viol_success_inclusive
0.0,127,0.4050638136045447,0.4134373083062737,0.4134373083062737,0,0
0.0,128,0.3199589642030969,0.3247372568710008,0.3247372568710008,0,0
0.0,129,0.48246324176442845,0.4917406947951938,0.4917406947951938,0,0
0.0,130,0.5591491316416919,0.5787423621732649,0.5787423621732649,0,0
0.0,131,0.3616519762161867,0.37293205860158146,0.37293205860158146,0,0
0.0,132,0.3955271444699449,0.4009196440759195,0.4009196440759195,0,0
0.0,133,0.31097611610054277,0.31494755291972765,0.31494755291972765,0,0
0.0,134,0.501259369256824,0.5212004509724499,0.5212004509724499,0,0
0.0,135,0.6003964235147359,0.609335812866051,0.609335812866051,0,0
0.0,136,0.4667860281073189,0.4745677707809189,0.4745677707809189,0,0
0.0,137,0.38044282996576906,0.38845854835421384,0.38845854835421384,0,0
0.0,138,0.39748916915130655,0.4055717678923026,0.40557176789230265,0,0
0.0,139,0.5832990774097336,0.5903028962685652,0.5903028962685652,0,0
0.0,140,0.5873144556038793,0.5977416656595644,0.5977416656595644,0,0
0.0,141,0.49891307834991955,0.5156884872173801,0.5156884872173801,0,0
0.0,142,0.4059251786887112,0.41397960241249937,0.4139796024124994,0,0
0.0,143,0.3558790220661758,0.361272847692759,0.36127284769275897,0,0
0.0,144,0.4065313008108123,0.4135267043275409,0.4135267043275409,0,0
0.0,145,0.5106586902507325,0.5188155192380062,0.5188155192380062,0,0
0.0,146,0.5510565737023851,0.5603121229559039,0.5603121229559039,0,0
0.0,147,0.4458951939593491,0.4576855150941693,0.4576855150941693,0,0
0.0,148,0.47009599712095007,0.4749839045964649,0.4749839045964649,0,0
0.0,149,0.49823912219447664,0.5043043168322096,0.5043043168322096,0,0
0.0,150,0.3884283653725012,0.3989336908960671,0.39893369089606706,0,0
0.0,151,0.387360887666589,0.3934892541616275,0.39348925416162744,0,0
0.0,152,0.3634336470265031,0.3674721427009718,0.36747214270097167,0,0
0.0,153,0.36915550277854786,0.3747466989947502,0.37474669899475016,0,0
0.0,154,0.34253853217429625,0.3506148569574064,0.35061485695740646,0,0
0.0,155,0.5268621505207631,0.5409404933700607,0.5409404933700607,0,0
0.0,156,0.45934036449137683,0.46480080014810665,0.46480080014810665,0,0
0.0,157,0.536856005527242,0.5467408666833755,0.5467408666833754,0,0
0.0,158,0.504806664494709,0.5188678546104241,0.518867854610424,0,0
0.0,159,0.3793854235598951,0.38683319901165264,0.3868331990116526,0,0
0.0,160,0.4383759756090759,0.4543474475113006,0.4543474475113006,0,0
0.0,161,0.36071317356052596,0.36895092211869573,0.36895092211869573,0,0
0.0,162,0.36602842431376637,0.37507742944983974,0.3750774294498397,0,0
0.0,163,0.3649945664528884,0.369455260007393,0.3694552600073929,0,0
0.0,164,0.3677140850694204,0.37458478075023954,0.37458478075023954,0,0
0.0,165,0.33650211066310326,0.34408844167255237,0.34408844167255237,0,0
0.0,166,0.4913157903268543,0.49877574330742824,0.49877574330742824,0,0
0.0,167,0.3211184041041928,0.32478974149127005,0.32478974149127005,0,0
0.0,168,0.37373792736386335,0.38045384225686246,0.38045384225686246,0,0
0.0,169,0.41778128615039684,0.4241555354344637,0.42415553543446366,0,0
0.0,170,0.4044199272580477,0.4128249881334582,0.4128249881334582,0,0
0.0,171,0.43778039813116343,0.45109727099721736,0.45109727099721736,0,0
0.0,172,0.5094567114821001,0.5380826204461399,0.5380826204461399,0,0
0.0,173,0.4767881671099723,0.4934162440626695,0.4934162440626695,0,0
0.0,174,0.28059308501312524,0.2866016614062286,0.2866016614062286,0,0
0.0,175,0.41338097882040903,0.42172316569646046,0.4217231656964605,0,0
0.0,176,0.46542493990659894,0.472092143206671,0.472092143206671,0,0
0.0,177,0.4277736768920298,0.4360589726464827,0.4360589726464827,0,0
0.0,178,0.38116958781985505,0.38942740649889673,0.38942740649889673,0,0
0.0,179,0.5576184673736263,0.573934276726666,0.573934276726666,0,0
0.0,180,0.3763373144605465,0.3798128018760298,0.3798128018760298,0,0
0.0,181,0.40820589836803833,0.41385486152533174,0.41385486152533174,0,0
