m_F,Bhat,Bhat_capped,true_loss,Rmax,C2_exact,covered,Xbar,ratio_L,ratio_Rmax,ratio_XC2,jensen_pop_bound,game,K,repeat
278,0.5276681878960716,0.5276681878960716,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.31488856739295606,1.6973976111296771,0.1321612815065692,0.9869874797299569,1.1292800724217658,0,400,3
277,0.536610996386846,0.536610996386846,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3236292722440742,1.7261647456987603,0.13440112286430014,1.0143843659474951,1.1292800724217658,0,400,4
265,0.4739724066987263,0.4739724066987263,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.26838754053061176,1.5246695732778537,0.1187124827778969,0.8412345497722118,1.1292800724217658,0,400,5
301,0.520683679158791,0.520683679158791,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.310151766807781,1.6749299151087271,0.1304119214985434,0.9721404406321192,1.1292800724217658,0,400,6
278,0.5295194167232036,0.5295194167232036,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3167593713792164,1.7033526250208066,0.1326249455662336,0.9928513322246828,1.1292800724217658,0,400,7
282,0.5309231094035959,0.5309231094035959,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3176056002896491,1.7078680092283673,0.13297651844429875,0.9955037541480877,1.1292800724217658,0,400,8
310,0.5627781016941424,0.5627781016941424,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3458385249600824,1.810338821486577,0.14095501080004733,1.0839971008471523,1.1292800724217658,0,400,9
233,0.4766636332611215,0.4766636332611215,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.2706372741277094,1.5333266832625057,0.11938653506960094,0.8482861201466046,1.1292800724217658,0,400,10
274,0.5182720835363531,0.5182720835363531,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.30706193475231247,1.6671723190617525,0.12980790637076425,0.9624556636379452,1.1292800724217658,0,400,11
286,0.5638001703270562,0.5638001703270562,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.34671048260705334,1.8136266013749869,0.1412110010291573,1.0867301669839777,1.1292800724217658,0,400,12
265,0.54552085656064,0.54552085656064,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3296182241743696,1.7548258924599445,0.1366327118924507,1.0331561512201235,1.1292800724217658,0,400,13
260,0.5143160164490191,0.5143160164490191,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3027377248007987,1.654446483058101,0.12881705850845007,0.9489018496103253,1.1292800724217658,0,400,14
262,0.5108726603231745,0.5108726603231745,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3015054220806239,1.6433699304131864,0.12795462569799465,0.9450393170130974,1.1292800724217658,0,400,15
268,0.511098030109231,0.511098030109231,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.30016295742320265,1.6440948976279024,0.12801107245832877,0.9408314925759489,1.1292800724217658,0,400,16
301,0.5317012420870655,0.5317012420870655,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3217796691053691,1.7103710984582288,0.13317141177876246,1.0085869654401183,1.1292800724217658,0,400,17
262,0.5096052518687195,0.5096052518687195,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3001564634763311,1.639292943904875,0.1276371869564232,0.9408111379333232,1.1292800724217658,0,400,18
259,0.4850406710181532,0.4850406710181532,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.2782125907857905,1.5602738523420434,0.12148467187336119,0.8720302108210225,1.1292800724217658,0,400,19
314,0.6100469697290416,0.6100469697290416,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3925181907714931,1.788867663965434,0.15352774836948876,1.1305035078877501,4.495534950198619,1,25,0
299,0.5779512344127098,0.5779512344127098,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3632837800984759,1.6947519222151213,0.14545036052906044,1.0463045978909469,4.495534950198619,1,25,1
278,0.5312542907144788,0.5312542907144788,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3213799263884714,1.5578204124579584,0.133698352933792,0.9256160419795257,4.495534950198619,1,25,2
319,0.5620223995605693,0.5620223995605693,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3508850425078376,1.6480430964925774,0.14144162305416608,1.0105946189163513,4.495534950198619,1,25,3
280,0.5097271241375385,0.5097271241375385,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3040456984120256,1.4946953514427546,0.1282807087566551,0.8756912079345577,4.495534950198619,1,25,4
252,0.5141656110543986,0.5141656110543986,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3068976992638526,1.5077105225959384,0.1293977225872715,0.8839053418098618,4.495534950198619,1,25,5
319,0.5579386325113462,0.5579386325113462,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.34878643017698646,1.6360680860687613,0.14041387996052984,1.004550342096822,4.495534950198619,1,25,6
277,0.5371120727666836,0.5371120727666836,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3257658474032262,1.5749974454008489,0.1351725543207994,0.9382480656896968,4.495534950198619,1,25,7
299,0.526547545216519,0.526547545216519,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3171770190782324,1.5440186148233355,0.1325138276852346,0.9135111215726184,4.495534950198619,1,25,8
