game,eta,V_naive,V_wrapper,rel_gap
30,0.1,3.366069401470999,3.2213889721207796,0.042982010187909675
30,0.2,3.366069401470999,3.208923522292873,0.04668527602632521
30,0.3,3.366069401470999,2.994267607389827,0.1104557718887899
31,0.0,3.402088847976129,3.402088847976129,0.0
31,0.1,3.402088847976129,3.356024246936484,0.013540093479189516
31,0.2,3.402088847976129,3.22730667122109,0.05137495947751052
31,0.3,3.402088847976129,2.8864680245477397,0.1515600698034583
32,0.0,3.351979527961065,3.351979527961065,0.0
32,0.1,3.351979527961065,3.3218705155509056,0.008982457127204382
32,0.2,3.351979527961065,3.2082727815564085,0.04287220287684694
32,0.3,3.351979527961065,2.8882339231675758,0.1383497723618932
33,0.0,3.1775973606615375,3.1775973606615375,0.0
33,0.1,3.1775973606615375,3.119609065222239,0.01824910107836229
33,0.2,3.1775973606615375,3.038918693582021,0.043642617769232644
33,0.3,3.1775973606615375,2.616274600100797,0.1766500587309243
34,0.0,3.3345297595923276,3.3345297595923276,0.0
34,0.1,3.3345297595923276,3.295612320581853,0.011671042637076854
34,0.2,3.3345297595923276,3.0286278140779035,0.09173765642448047
34,0.3,3.3345297595923276,2.8434146998655994,0.14728165438220267
35,0.0,3.177356151284003,3.177356151284003,0.0
35,0.1,3.177356151284003,3.1435562615150863,0.010637740356749201
35,0.2,3.177356151284003,3.0838455295427654,0.02943032422538432
35,0.3,3.177356151284003,2.832500796875811,0.10853531611818115
36,0.0,3.3425980250027894,3.3425980250027894,0.0
36,0.1,3.3425980250027894,3.2203026606962966,0.03658691932297298
36,0.2,3.3425980250027894,3.132592424329229,0.0628270581864411
36,0.3,3.3425980250027894,2.9809448147065374,0.10819524438262508
37,0.0,3.2500187737441473,3.2500187737441473,0.0
37,0.1,3.2500187737441473,3.249951337446351,2.0749510224433e-05
37,0.2,3.2500187737441473,2.892383236402322,0.11004106810736185
37,0.3,3.2500187737441473,2.497794825347816,0.23145218552023558
38,0.0,3.0470807679855625,3.0470807679855625,0.0
38,0.1,3.0470807679855625,3.0517711817161706,0.0015393138830939541
38,0.2,3.0470807679855625,2.864977967322249,0.05976303697520275
38,0.3,3.0470807679855625,2.679107804505289,0.12076245803053631
39,0.0,3.217273911558996,3.217273911558996,0.0
39,0.1,3.217273911558996,3.15084397810139,0.020647894852312356
39,0.2,3.217273911558996,3.0815713250057977,0.04217936993908653
39,0.3,3.217273911558996,2.661227080249392,0.17283167253462994
40,0.0,3.2055391787789396,3.2055391787789396,0.0
40,0.1,3.2055391787789396,3.1805243641717107,0.007803621545176043
40,0.2,3.2055391787789396,2.9727952602404106,0.0726067926440317
40,0.3,3.2055391787789396,2.3718664588224283,0.26007254106125227
41,0.0,3.3463069272268506,3.3463069272268506,0.0
41,0.1,3.3463069272268506,3.1968549869230487,0.04466175503601933
41,0.2,3.3463069272268506,2.939804949959754,0.12147779208122277
41,0.3,3.3463069272268506,2.825788302316882,0.1555501739901015
42,0.0,3.150170321155032,3.150170321155032,0.0
42,0.1,3.150170321155032,2.9877894188427665,0.051546705640087655
42,0.2,3.150170321155032,2.8530644625869908,0.09431422056087148
42,0.3,3.150170321155032,2.651583374011716,0.15827301261673773
43,0.0,3.2066238473001425,3.2066238473001425,0.0
43,0.1,3.2066238473001425,3.0946373004857377,0.03492350587792509
43,0.2,3.2066238473001425,2.9240582480688113,0.08811934688913435
43,0.3,3.2066238473001425,2.534318987696632,0.20966127971632997
44,0.0,3.4153671916587554,3.4153671916587554,0.0
