game,true_loss,C0,Cstar,Ctilde,delta_r,r_C0,r_Cstar,r_Ctilde,slack_Ctilde,true_over_range,usable
99,0.2745627139576175,2.5812046520475476,0.5440343620742589,0.277689125877554,0.9882875625530612,9.401147791851999,1.981457548377228,1.0113868772451715,0.011386877245171447,0.06945415594635601,True
100,0.28597513600555224,2.173674426626827,0.5749797080226512,0.28913384141373094,0.9972182187791591,7.600921034563735,2.0105933545617334,1.0110453847572167,0.01104538475721669,0.07169321885125012,True
101,0.434460555415348,3.4514160115285466,0.8584412756250439,0.445557769198037,0.9745869357673487,7.944141231023754,1.9758785116968023,1.0255425116143857,0.025542511614385772,0.11144735771398169,True
102,0.32526738120195126,3.1022327321700596,0.6843730954460591,0.32992419802341066,0.9883898118399184,9.537484886146492,2.104032359215101,1.0143168884757248,0.014316888475724822,0.08227203915539556,True
103,0.34731983812607575,2.642868380058882,0.7256899312718161,0.35517137254832865,0.9823619925026131,7.609321697021899,2.0893996012067513,1.022606063807397,0.02260606380739708,0.08838896475454588,True
104,0.2875523444481253,2.3974177600665367,0.6603563742712374,0.29022767196645116,0.9568475035109449,8.337326425446806,2.296473623049755,1.0093037931005584,0.009303793100558493,0.07513013917918324,True
105,0.39585934237445664,2.6478693916387703,0.8085130090901997,0.4056992043233533,0.9822277386273172,6.688914743697174,2.0424249791366553,1.0248569653298438,0.024856965329843935,0.10075548846942511,True
106,0.3452296405501287,2.526598145481282,0.6437140991045168,0.35500757188202325,0.9923040744058775,7.318601442955794,1.8645968465475575,1.0283229774717872,0.028322977471787317,0.08697677694128893,True
107,0.3501912372648144,3.769128358540119,0.7335879584876829,0.3568075159783941,0.9955782209292141,10.763057316850869,2.0948210018543216,1.018893330299343,0.018893330299342988,0.08793664573587359,True
108,0.330763207233898,2.6355555347860746,0.6588895768387018,0.33931951759799645,0.9804238543300039,7.968103698191411,1.9920280201321496,1.0258683861353657,0.02586838613536561,0.08434189095183046,True
109,0.3746582247008291,2.950748379490656,0.7699149544599385,0.3796541085186272,0.993384635687799,7.875840392525423,2.0549794551413587,1.0133345099304503,0.013334509930450301,0.09428830768089731,True
110,0.3539384948300398,3.373830610699776,0.6953430636507129,0.36020325661236374,0.9744367632411604,9.532251111368598,1.9645872766244725,1.0177001424649563,0.01770014246495639,0.09080591685928742,True
111,0.2604623171754886,2.222006658499537,0.5336744606023324,0.2629037455780921,0.9824003995175972,8.53101010002319,2.0489507518385657,1.0093734419208078,0.009373441920807843,0.06628211809140838,True
112,0.39293155520642525,3.354707057876716,0.8328991440264689,0.39871919263452865,0.9858433825989241,8.537637187510512,2.1197054117705263,1.0147293780594,0.014729378059399894,0.09964350376085135,True
113,0.4019516261585193,3.382468437247881,0.7557278527164666,0.40926687549712526,0.9995857481824107,8.415113205472947,1.880146275160054,1.0181993276368062,0.018199327636806227,0.10052955108888983,True
114,0.44307503182156494,3.7153545222416304,0.9256171407057238,0.4497916911462391,0.9936203784812403,8.38538454077881,2.089075380529427,1.0151591916544265,0.015159191654426425,0.11147995789368018,True
115,0.2640951788167653,2.372338726127551,0.5187711354888743,0.2673068303415039,0.9904394310121946,8.982892973496986,1.964333986758647,1.0121609623436818,0.0121609623436817,0.06666111287261384,True
116,0.35339515247470116,3.255550786681126,0.758524523689863,0.35902302250985113,0.9963161472620226,9.212211214227633,2.146391987491012,1.0159251478005287,0.015925147800528647,0.0886754554379819,True
117,0.32604423576234876,2.72214072547862,0.682134217239199,0.33005484153974074,0.9929978786154596,8.348992028991944,2.0921523597687575,1.0123008025828597,0.012300802582859602,0.08208583391360144,True
118,0.3083965735422607,2.686657272399398,0.6307067315278347,0.3121047476734811,0.986673516014042,8.711696247271163,2.045115885314487,1.0120240445236732,0.012024044523673307,0.07814048125770098,True
119,0.5718201871151082,4.200048954994311,1.1544588895256371,0.5928996805590396,0.989816980725705,7.345051905536933,2.0189194357582956,1.0368638497187022,0.03686384971870208,0.14442573684073046,True
120,0.29605321455677275,2.4520019421342125,0.6034144017869575,0.29968352487696087,0.973299477116065,8.282301361953303,2.0381957435940743,1.0122623573793081,0.01226235737930809,0.07604371047079805,True
