game,true_loss,adavote,naive_marginal,unweighted,worst_prefix,plugin_alpha,no_logging,viol_adavote,viol_naive_marginal,viol_unweighted,viol_worst_prefix,viol_plugin_alpha,viol_no_logging
193,0.5035217115593406,0.5138261596848909,0.5335429639743949,0.30257898506052416,0.543950630408464,0.42804477726059736,1.019341070708226,0,0,1,0,1,0
194,0.4320166490062966,0.43799062036367015,0.45982969961786185,0.26989776111181424,0.522342770963156,0.5398101403915898,0.96902232594418,0,0,1,0,0,0
195,0.5181896361547419,0.528593256813794,0.5420108025987371,0.3027564373905559,0.6570928082431895,0.6308420578478229,1.0658333052996387,0,0,1,0,0,0
196,0.2798157147922869,0.28324056089895033,0.28282491838135526,0.2403946487166304,0.36081493182282487,0.41725394304508834,0.5837846785548817,0,0,1,0,0,0
197,0.37370918563637895,0.37857821941881326,0.3995972965148846,0.27451723146964396,0.4664019873704453,0.4373439107141499,0.8170413808609123,0,0,1,0,0,0
198,0.24426009054799994,0.24916703799746504,0.2491398539306735,0.2078642152410779,0.3571847053426356,0.25864435379854356,0.5298301027512132,0,0,1,0,0,0
199,0.4663550124533815,0.4792793177674458,0.5141069191324112,0.24609390467522269,0.5211870316109027,0.4911180479953898,0.9363274467556737,0,0,1,0,0,0
200,0.41084216069201346,0.4199120040269998,0.4453860837206291,0.2752506737906145,0.5406770621583947,0.4009754535846968,0.9439397399609031,0,0,1,0,1,0
201,0.4327065340933017,0.4397967549815555,0.44804136319819765,0.25267012340405487,0.5484294425760636,0.6030514836305271,0.8621633703293277,0,0,1,0,0,0
202,0.429453846543776,0.43612459535738124,0.44292669617837765,0.27058100356697207,0.5333552637718875,0.4563170408972402,0.8679601781340879,0,0,1,0,0,0
203,0.3980390769098,0.4079134810001711,0.4043504321074671,0.2436676782884374,0.46661882149410266,0.3554207123109358,0.7694122347979779,0,0,1,0,1,0
204,0.29460470374951925,0.30637798147815465,0.3091566147812422,0.21540070247774695,0.38675310090478315,0.317012553717506,0.6268442873480446,0,0,1,0,0,0
205,0.39655584746652944,0.4056171118480014,0.4049293203691098,0.22707173881245005,0.465935406362209,0.33986534858560263,0.7428014680144539,0,0,1,0,1,0
206,0.4529107310448128,0.4586798604980623,0.4742299946695053,0.26135906040996737,0.5060116357346258,0.6090430950211664,0.9057842626539295,0,0,1,0,0,0
207,0.535196413870915,0.5461068817948366,0.5844729170750663,0.2976025806431738,0.6259590929086588,0.6165913118971682,1.0775840984937939,0,0,1,0,0,0
208,0.45668328959789506,0.4667467116391086,0.4796570233626422,0.28695267577911493,0.5385514736896089,0.46139389734759206,0.9184407442804516,0,0,1,0,0,0
209,0.36425876564571985,0.3712542022634243,0.38808132860577443,0.2312658911931183,0.4266521342665591,0.47240887306386287,0.7750375212939321,0,0,1,0,0,0
210,0.30230286421083213,0.30917639814210457,0.31126901059922724,0.19586421747828053,0.3583146735752142,0.3330357248958538,0.7012533184871048,0,0,1,0,0,0
211,0.3737380826506216,0.384841435885448,0.3863366768286269,0.24706950386368431,0.5075178113402672,0.34568248125392986,0.7671338635181885,0,0,1,0,1,0
212,0.28156723761369556,0.28530799163748055,0.2923859085265804,0.18916161243318222,0.3464622928972583,0.39414789503403297,0.5497018227141967,0,0,1,0,0,0
