n,game,seed,replenish,true_loss,C0,Cstar,Ctilde,r_C0,r_Cstar,r_Ctilde,chain_violation,naive,drift_rate,naive_violation,joint_violation,usable
3,3,494452713,True,0.7573659636237418,15.472398870328837,1.2298302517074124,0.7625432565179221,20.429223933299834,1.6238256150607664,1.0068359196779966,0,0.8234739473608466,1.0,0,0,True
3,4,166879142,False,0.034407498745706366,16.15164921863219,0.057135717701223616,0.03511969734084063,469.42235871323595,1.6605600460380299,1.0206989354384017,0,0.036769164664554516,1.0,0,0,True
3,5,605291690,True,0.9103792481558584,17.420234415962824,1.4416437220052745,0.9120661430349322,19.135140054269396,1.5835639102336643,1.0018529584044134,0,1.0043238935069878,1.0,0,0,True
3,6,1609096918,True,0.7543510231854569,15.243815587651966,1.2415673908862195,0.7629573888009704,20.207854326598138,1.6458748682322404,1.011408966583184,0,0.8641765095720703,1.0,0,0,True
3,7,1985281332,True,0.6916303339448007,14.1527109481155,1.1932584967401187,0.7025922067310005,20.462825664967195,1.7252836351670968,1.0158493233280812,0,0.7398199027097241,1.0,0,0,True
3,8,396530696,False,0.038185267617013796,14.128623296566547,0.06157224189705731,0.03848996056714868,370.00194520756503,1.6124606619130577,1.0079793325842537,0,0.039197638075468645,1.0,0,0,True
3,9,284241473,True,0.5916845301236195,13.460341414784061,1.0292539253664743,0.6004917299069182,22.749185975796625,1.7395315796940545,1.0148849586813746,0,0.6131595806905638,1.0,0,0,True
3,10,2083753426,True,0.6504917107799306,14.358154017794318,1.0974540872765763,0.6588842926626554,22.072770151950266,1.6871146381876934,1.0129019044265177,0,0.7015087643632915,1.0,0,0,True
3,11,1435036779,True,0.7969447001193037,13.088344445217404,1.3088095876444712,0.800761725468099,16.423152626848587,1.6422840724689436,1.0047895736658061,0,0.8974160326956615,1.0,0,0,True
3,12,1871024369,False,0.03916244138302982,18.543906173909733,0.06348957831914451,0.039342029501588174,473.51251655994366,1.621185403080011,1.0045857232648465,0,0.04185318365709266,1.0,0,0,True
3,13,256059214,True,0.7896426622993573,15.366398279989774,1.3839448476587897,0.7990577236897881,19.459939303740782,1.7526216777964936,1.011923192400744,0,0.8483036933281483,1.0,0,0,True
3,14,176863876,True,0.8551498574042915,14.069514741844468,1.3905358373934016,0.8674057115371132,16.452689104750426,1.626072699835573,1.0143318203548826,0,0.9896798162163055,1.0,0,0,True
3,15,1776774049,True,0.7987626552709761,18.702004389952794,1.391368383271004,0.8168386966653922,23.41371903974183,1.741904649759808,1.022630053214348,0,0.8887503221595736,1.0,0,0,True
3,16,773786671,False,0.014396518340932918,11.712401491111825,0.02487665017058393,0.01487405850083207,813.5579182232225,1.727962940862817,1.0331705311374755,0,0.015659807413321986,1.0,0,0,True
3,17,1109958448,True,0.7918630411655858,16.069404529870635,1.3182737419027277,0.7974501984059249,20.293161436373158,1.664774933759113,1.0070557115939078,0,0.886640140887174,1.0,0,0,True
3,18,788603698,True,0.7715564666303072,16.611353002487757,1.2156487106620342,0.7724521375094191,21.52966596863107,1.5755797057488918,1.00116086238383,0,0.8258002296802082,1.0,0,0,True
3,19,824272794,True,0.5558106403748893,14.500549073008571,1.0382784167841135,0.5614165559134575,26.089009492923854,1.8680434330724653,1.0100860169477632,0,0.5751442444706882,1.0,0,0,True
3,20,493018052,False,0.023861926612372297,16.28050325445125,0.04263690578881337,0.024325427506992923,682.2794956552203,1.7868174050416505,1.0194242863181175,0,0.02472551841473191,1.0,0,0,True
3,21,701897159,False,0.034506794662108486,13.279472665831054,0.08782076106427693,0.039044403934080436,384.83645890219674,2.5450280712601767,1.1314990081346108,0,0.038440550477564825,1.0,0,0,True
3,22,1917029160,True,0.7810633570034549,14.031024877084533,1.2844082566490362,0.7876026694719916,17.964003497634916,1.6444354291265963,1.0083723201324215,0,0.8717254189201041,1.0,0,0,True
3,23,299909236,True,0.9385741578493976,19.082158701207096,1.6233462726028665,0.9619704283834875,20.331007988682547,1.7295876506151862,1.0249274608068253,0,1.0619745741574445,1.0,0,0,True
3,24,2085146284,False,0.015169413370285323,13.038224923091326,0.026145833453207017,0.015635030835110728,859.5075237801426,1.723588962538453,1.0306944938119678,0,0.016203644501210975,1.0,0,0,True
3,25,915743487,True,0.9063986504042774,11.535031188870063,1.4645793456128893,0.9181273770704175,12.726222820085995,1.6158225135922795,1.0129399207080778,0,1.0303170321363961,1.0,0,0,True
3,26,1411099205,False,0.01272434110055265,8.651465324546868,0.021360717910760583,0.012971536143738732,679.9146027428574,1.6787288034767343,1.0194269425216325,0,0.014946339664410764,1.0,0,0,True
3,27,319457530,True,0.689820665623464,12.025787040326078,1.1412144413977612,0.6943259816650005,17.43320784606692,1.6543639503266039,1.0065311410139686,0,0.7553559225840872,1.0,0,0,True
3,28,1486119656,False,0.04778347812599115,14.37666811543812,0.09218191925845588,0.05059455721117416,300.87111025135135,1.9291588405389608,1.0588295200648854,0,0.057550394403235394,1.0,0,0,True
3,29,1748708619,True,0.7523215140267618,13.865506935390977,1.2791262787563473,0.7548462097745928,18.43029433144424,1.7002388671698225,1.0033558733875863,0,0.7951853892275205,1.0,0,0,True
3,30,393575410,True,0.7842145449725173,11.888744155843115,1.260367209637955,0.7863956838889977,15.16006586725544,1.607171427408458,1.0027813038287334,0,0.8665664944665993,1.0,0,0,True
3,31,1077333836,False,0.010394960920696139,16.47526873313463,0.019825114587785072,0.010608643949696033,1584.9283954817695,1.9071851004570592,1.0205564052265417,0,0.010450156676420816,1.0,0,0,True
3,32,1991575181,True,0.7681599247836655,11.128403224438078,1.2251337375599016,0.7704190201858468,14.48709163989795,1.594894107376055,1.0029409180683535,0,0.8621247968532115,1.0,0,0,True
3,33,666191121,False,0.03297364385052637,12.49256890500339,0.05334474797491064,0.03316233350220168,378.86528287967684,1.6177996043363914,1.0057224385794503,0,0.035312132818223506,1.0,0,0,True
3,34,196017830,True,0.5446510962124371,10.406419985991539,0.9703244762378219,0.5555480186215006,19.106580448215222,1.7815524158228335,1.020007161437555,0,0.5708451573006303,1.0,0,0,True
3,35,320704861,True,0.6014539591981869,11.57577576756014,0.9717297547253633,0.6058793186202666,19.246320670982186,1.6156344801866467,1.007357769209765,0,0.6207275962260516,1.0,0,0,True
3,36,1929953605,True,0.8158555455714156,12.291470124223736,1.305914616003015,0.8225847410447529,15.065743183267738,1.600668921222283,1.0082480232068831,0,0.9224679200838808,1.0,0,0,True
3,37,575371960,False,0.013737819202315205,12.426842375542206,0.02921601698996079,0.014432555029117843,904.5716931147222,2.126685215440678,1.0505710416312333,0,0.015628873265608682,1.0,0,0,True
3,38,1062733147,True,0.696162802327212,16.442326089806233,1.1619674104558877,0.6980619043130023,23.618507100409502,1.6691029836290179,1.0027279567070257,0,0.7210916345095373,1.0,0,0,True
3,39,1341434675,False,0.005757823502884563,10.693074200887489,0.01019293752501699,0.005884861076461127,1857.138239046483,1.7702761329711685,1.0220634712948253,0,0.005952974500346408,1.0,0,0,True
3,40,1396231713,False,0.02245086336568125,13.650448460318243,0.05228516824089966,0.023391734767364745,608.0144107591219,2.328871161401463,1.0419080276049306,0,0.02319027703191599,1.0,0,0,True
3,41,485792374,False,0.012390996233979212,11.667712885152074,0.025659240468775633,0.013455351772776791,941.6283134003613,2.0707972130934538,1.085897495140774,0,0.014027668752182327,1.0,0,0,True
3,42,1875379231,True,0.9320100042641499,17.82395496576359,1.550057616475816,0.9400704568815017,19.1242099164334,1.6631340966126573,1.0086484614762432,0,1.0786098733222556,1.0,0,0,True
3,43,302913355,True,0.3705304182777791,8.645234317908825,0.69533540941573,0.37238140637088446,23.332050194668955,1.8765946737858679,1.0049955091452645,0,0.3791494899961886,1.0,0,0,True
3,44,1635307038,False,0.07292768028113761,19.400058334804154,0.1515416408813113,0.07851473369822408,266.0177625288033,2.0779714958314233,1.0766108752609198,0,0.08748230203056867,1.0,0,0,True
3,45,585528511,False,0.020275838748442965,10.327268376546757,0.04222192921825283,0.02084923780450062,509.3386520121055,2.0823764551538053,1.0282799179442916,0,0.02066830403426652,1.0,0,0,True
3,46,450152621,True,0.8803767728605942,12.74471365920155,1.4678211660158786,0.8883023413004609,14.476431060068014,1.6672647567092334,1.009002473354805,0,1.0440742774936194,1.0,0,0,True
3,47,469485975,False,0.08822602447118433,16.232745152365226,0.18134542456690048,0.09335404014278749,183.99044102533526,2.0554640839124523,1.0581236171791695,0,0.11210248981941202,1.0,0,0,True
3,48,269386936,False,0.07621033781788666,16.786399793574216,0.12117603238308472,0.07677410673749066,220.26407800064135,1.590020932234269,1.0073975386508742,0,0.0836778782630602,1.0,0,0,True
3,49,1671748610,False,0.07711130410230016,17.889537048833283,0.16854673627176056,0.08484564922462487,231.99629752208605,2.1857591209734575,1.100301054590698,0,0.09783697350299621,1.0,0,0,True
3,50,1722230530,True,0.778339640201807,15.690305246622795,1.3608183816890205,0.7830125982315851,20.158687077218154,1.7483606274199128,1.006003751817865,0,0.837947279056051,1.0,0,0,True
3,51,1843405231,True,0.8341740334182886,15.635920853505606,1.3276594524677467,0.8376441635157791,18.74419512848241,1.5915856874940684,1.0041599593831405,0,0.8995836099808253,1.0,0,0,True
3,52,1641032422,True,0.4129637664229939,9.12512147146429,0.6828943168882285,0.41616520397058065,22.096663710969583,1.6536422137063422,1.0077523448977543,0,0.4259996935320891,1.0,0,0,True
3,53,131069158,True,0.7343732143566966,13.945727154648107,1.1842041772257559,0.737374015499,18.989972512633678,1.6125372686190722,1.004086207235829,0,0.789365227521821,1.0,0,0,True
3,54,976358674,False,0.09504813272572799,19.82862476870202,0.1558413046015525,0.09651639712015929,208.61666820872466,1.6396040630408806,1.0154475879991052,0,0.11251182190544406,1.0,0,0,True
3,55,971614502,False,0.023053996574936786,15.809093400649923,0.03874784300148129,0.023527550114149896,685.7419861785189,1.6807429842167199,1.0205410605347245,0,0.02438291464924926,1.0,0,0,True
3,56,1056188273,True,0.7885239966803956,12.66819155262284,1.3286254478122759,0.7999891540565728,16.065702002671593,1.6849524597927918,1.0145400234164645,0,0.8683066558832603,1.0,0,0,True
3,57,1772735652,True,0.8719833564103778,16.92323991613269,1.3976442044558162,0.8772696587512193,19.407755654648273,1.6028335795414526,1.006062389037565,0,0.9605794703298697,1.0,0,0,True
3,58,1525331521,True,0.9358297542966856,18.202659026144502,1.5791097949177242,0.9486981998687435,19.45082312522169,1.6873900275851883,1.0137508403777236,0,1.0497262496347444,1.0,0,0,True
