game,unit_t,unit_s,unit_i,alpha_star,margin,delta_ctilde,T_fail,T_occ,identity_resid,cert_rise,occ_dominates
5,1,3,1,0.8128684170224864,0.14620175035581973,-3.7347624523731415e-05,-3.6573666563664504e-05,-7.739579600348718e-07,3.2038174196946656e-17,0,0
5,3,3,1,0.658129623312999,-0.008537043353667673,-3.131590359528591e-05,-3.131590359528896e-05,0.0,3.0493186101154812e-18,0,0
5,1,2,0,0.5588819473886122,-0.10778471927805444,-0.001503494043358311,-0.0016726934842662136,0.0001691994409080148,1.1232334506949826e-16,0,0
5,1,0,1,0.7036861026318945,0.03701943596522783,4.668617993863755e-07,0.0,4.668617993864386e-07,6.310395457044538e-20,1,1
5,3,2,1,0.587066962089638,-0.07959970457702858,0.0,0.0,0.0,0.0,0,0
5,2,0,1,0.7518080660379045,0.08514139937123788,2.9717717144550626e-05,0.0,2.9717717144540916e-05,9.710385707323299e-18,1,1
5,2,2,1,0.8793207199264599,0.21265405325979325,-2.2811637762076842e-07,0.0,-2.281163775989804e-07,2.1788016743985554e-17,0,0
5,1,2,1,0.6847069893113121,0.0180403226446455,-0.000391382749996283,-0.0004091562091048078,1.77734591085704e-05,4.559070135301546e-17,0,0
5,2,1,1,0.8285413191138165,0.16187465244714982,-8.303729994052489e-06,0.0,-8.303729994070993e-06,1.8504281765717445e-17,0,0
6,1,0,1,0.7728827747220366,0.10621610805536996,9.597403667904736e-07,0.0,9.59740366758188e-07,3.228550781754491e-17,1,1
6,1,3,1,0.6613075062891719,-0.005359160377494732,-4.323470127243212e-06,0.0,-4.323470127457931e-06,2.1471946399717612e-16,0,0
6,2,1,1,0.6368401890124288,-0.02982647765423785,2.5130229880931942e-06,0.0,2.5130229879871084e-06,1.0608579444591759e-16,1,1
6,3,3,1,0.7503142697388108,0.08364760307214414,-0.0001043003334427195,-0.00010430033344274352,0.0,2.4028630647709992e-17,0,0
6,1,1,1,0.7122784125880055,0.045611745921338875,-0.002066269919574981,-0.0019360632350282332,-0.00013020668454690932,1.6132928326584306e-16,0,0
6,1,2,1,0.7676694512059142,0.1010027845392476,-0.002151411405445558,-0.0019517655403513809,-0.0001996458650943072,1.3010426069826053e-16,0,0
6,3,1,1,0.7636227912068421,0.09695612454017544,-0.0029858302870512943,-0.0029858302870512925,0.0,1.734723475976807e-18,0,0
6,2,2,0,0.8863818477574694,0.2197151810908028,0.0001011106586701338,-0.0004469444633229721,0.0005480551219929988,1.0711917464156784e-16,1,1
6,1,3,0,0.8798118725954117,0.21314520592874509,-0.0017348492652207725,-0.0026978726766037566,0.0009630234113827886,1.953732314818879e-16,0,0
6,0,2,1,0.6915836924667432,0.024917025800076598,-0.00018065547082668498,-0.00017802575130697123,-2.629719519909188e-06,1.9542744159051217e-16,0,0
6,1,1,1,0.6608502379527432,-0.005816428713923405,3.428029227592333e-06,0.0,3.42802922766566e-06,7.332721872733115e-17,1,1
6,1,1,1,0.6665208298052943,-0.00014583686137237262,-8.531103672104745e-06,-1.1770344376891444e-05,3.2392407045217982e-06,2.649010839243099e-16,0,0
7,0,0,1,0.5612344975143752,-0.10543216915229148,-6.604658025349819e-05,-6.947648647841927e-05,3.4299062249319185e-06,1.0828469197698976e-17,0,0
7,1,0,1,0.670494743685819,0.0038280770191523317,-1.6183613499309857e-07,-2.957022728865701e-06,2.7951865937854896e-06,8.711267994389489e-17,0,0
7,3,0,1,0.6679183090380203,0.0012516423713536673,-6.377549788966208e-05,-6.377549788966859e-05,0.0,6.5052130349130266e-18,0,0
7,3,1,1,0.585971732445986,-0.08069493422068064,0.0,0.0,0.0,0.0,0,0
7,2,1,1,0.5723193965554981,-0.0943472701111685,-0.002654426664270848,-0.0027471179443853927,9.269128011458571e-05,4.119968255444917e-17,0,0
7,3,3,1,0.6283358754306883,-0.03833079123597838,0.0,0.0,0.0,0.0,0,0
7,2,3,0,0.7775152413937066,0.11084857472704002,-0.0026080135028577756,-0.0029692319496561932,0.00036121844679829005,1.2750217548429532e-16,0,0
7,2,0,1,0.8669283580190801,0.20026169135241345,-5.396728829887287e-05,-5.61463012613476e-05,2.1790129625013825e-06,2.6651044652409306e-17,0,0
7,0,3,1,0.8895107182998934,0.22284405163322674,-0.0011633335148010238,-0.0013404442228191942,0.00017711070801806759,1.0278236595162582e-16,0,0
7,2,0,0,0.7354327242438292,0.06876605757716259,-0.0035508019622277898,-0.0034883677932297857,-6.243416899793715e-05,6.678685382510707e-17,0,0
7,3,0,1,0.8372477172262147,0.1705810505595481,-0.0019010047753919568,-0.0019010047753919266,0.0,3.0140820395097023e-17,0,0
7,1,0,1,0.6842605334902789,0.017593866823612303,-8.191406161706105e-07,0.0,-8.191406161357188e-07,3.489172231712799e-17,0,0
8,0,0,1,0.5846735868218061,-0.08199307984486048,-9.436296056875015e-05,-6.498794016789267e-05,-2.9375020400547865e-05,3.0962103540754793e-16,0,0
8,1,0,1,0.7772062293782845,0.11053956271161791,3.774302170334032e-05,0.0,3.774302170354943e-05,2.0910871775456363e-16,1,1
8,1,2,1,0.5750637657416667,-0.0916029009249999,-0.00202051042942486,-0.0021466059140960864,0.00012609548467109382,1.3270634591222574e-16,0,0
8,1,0,1,0.5884404395330792,-0.0782262271335874,-2.6451415229167274e-05,0.0,-2.6451415229058387e-05,1.0888777943543482e-16,0,0
8,0,3,0,0.7119475672514988,0.04528090058483214,-0.0019381135148590634,-0.002421102042762943,0.00048298852790382537,5.421010862427522e-17,0,0
8,2,1,1,0.8914202610476456,0.22475359438097897,-2.756548499682765e-05,-3.4168911761584996e-05,6.603426764860229e-06,1.0288400990529634e-16,0,0
8,2,3,1,0.5756892059989481,-0.0909774606677185,-0.0014515554825924593,-0.0014901074388626908,3.8551956270208036e-05,2.3635607360183997e-17,0,0
8,2,1,1,0.8399920864123833,0.1733254197457167,-0.0022766577414600198,-0.0023121267919836612,3.546905052380977e-05,1.682681771697503e-16,0,0
8,3,1,1,0.5717484369226146,-0.09491822974405206,-6.789185115818608e-05,-6.78918511581215e-05,0.0,6.457779189866786e-17,0,0
8,3,1,1,0.6175060197053259,-0.049160646961340704,0.0,0.0,0.0,0.0,0,0
8,0,2,1,0.8599833750887735,0.1933167084221069,-1.3372027478975035e-05,-7.98224704014349e-06,-5.389780438666963e-06,1.6458188978329957e-16,0,0
8,2,1,1,0.8456626782649344,0.17899601159826772,1.2353063653103291e-06,0.0,1.2353063653602634e-06,4.9934286306535514e-17,1,1
9,2,1,1,0.6284352090392344,-0.038231457627432186,-0.0058703765045159395,-0.0056968362579014565,-0.0001735402466144907,7.806255641895632e-18,0,0
9,1,0,0,0.8301237391843749,0.16345707251770825,-0.004610899566286575,-0.007014740740332738,0.002403841174046239,7.632783294297951e-17,0,0
9,2,3,1,0.7206497993135476,0.05398313264688093,-6.047826731570005e-05,-6.414603495475947e-05,3.667767639040337e-06,1.9081958235744878e-17,0,0
9,2,0,1,0.7388900184628764,0.07222335179620976,-5.557399563094201e-06,-6.368933497522339e-06,8.115339344270509e-07,1.0875903042745216e-18,0,0
9,3,1,0,0.6118704132879783,-0.05479625337868832,-0.00335395153104201,-0.0037319143236871164,0.00037796279264506853,3.8163916471489756e-17,0,0
9,0,1,1,0.6523538581450363,-0.014312808521630305,-0.00311642843203519,-0.0035206914911604264,0.0004042630591251311,1.0538445116559103e-16,0,0
9,3,2,1,0.8658568829218525,0.19919021625518585,-0.0001495714255607128,-0.00014957142556080993,0.0,9.71445146547012e-17,0,0
9,1,1,1,0.7103909032210687,0.04372423655440205,-8.499390829552755e-05,-7.837621248761633e-05,-6.617695807905481e-06,5.7462715141731735e-18,0,0
9,3,3,0,0.7174539270967837,0.050787260430117054,-0.0037216917317648424,-0.0043723353366161306,0.0006506436048514242,1.3617579286417936e-16,0,0
9,3,2,1,0.7285192677119093,0.061852601045242706,-0.0033366522641281593,-0.003336652264128197,0.0,3.7730235602495554e-17,0,0
9,2,3,0,0.5909443309742363,-0.07572233569243036,-0.0004970289328333211,-0.0007192360872867812,0.0002222071544534006,5.952269926945419e-17,0,0
9,3,2,1,0.677091093076647,0.010424426409980425,-1.12856692729979e-05,-1.1285669273037845e-05,0.0,3.9944379726618295e-17,0,0
10,3,0,1,0.6480279476842908,-0.01863871898237579,-6.012424084378409e-06,-6.01242408435376e-06,0.0,2.4649505798047394e-17,0,0
10,3,0,0,0.7512681246272447,0.08460145796057805,-0.001842419158754327,-0.001629641229308746,-0.00021277792944557575,5.204170427930421e-18,0,0
10,1,3,1,0.5947017783519584,-0.07196488831470826,1.6226338387936856e-06,0.0,1.6226338388285849e-06,3.489923973453487e-17,1,1
10,3,0,1,0.5965997730490286,-0.07006689361763807,-0.00011028086370645784,-0.00011028086370644975,0.0,8.090858712173077e-18,0,0
10,1,3,1,0.6461299529872206,-0.020536713679445984,6.830950142755476e-07,0.0,6.830950142784736e-07,2.9259694371715737e-18,1,1
10,0,2,1,0.8158928749654193,0.14922620829875266,6.556321526407505e-06,0.0,6.5563215264519266e-06,4.442179588580453e-17,1,1
10,0,3,1,0.6187118272922728,-0.04795483937439382,-0.00039366022015807633,-0.0004065920996569588,1.2931879498965103e-05,8.267041565201971e-17,0,0
10,2,2,1,0.8041622883184261,0.13749562165175944,-0.00035513662918601474,-0.00033554417093023504,-1.9592458255719146e-05,6.055269133331542e-17,0,0
10,0,2,1,0.770135292182708,0.10346862551604141,-1.9930076834429045e-05,-1.8450815068069344e-05,-1.4792617663648022e-06,5.102526474259905e-18,0,0
10,3,3,1,0.7376879313349929,0.07102126466832626,0.0,0.0,0.0,0.0,0,0
10,0,2,0,0.8136396584482025,0.1469729917815359,-0.008013363088233916,-0.008848070844938369,0.0008347077567044199,3.2959746043559335e-17,0,0
10,2,3,1,0.8514581289844257,0.18479146231775911,-0.0020351132090386526,-0.002020215588392351,-1.489762064640711e-05,1.0538445116559103e-16,0,0
11,2,2,1,0.6715374811602611,0.0048708144935945,-0.003936381682831891,-0.0036837184761517264,-0.0002526632066801328,3.209238430557093e-17,0,0
11,1,2,1,0.7878588937078275,0.12119222704116084,-0.003385753205884856,-0.003209372434154197,-0.00017638077173050403,1.5525775109992423e-16,0,0
11,1,3,1,0.8009759096896686,0.13430924302300196,-1.79972657887717e-07,-8.76310560958896e-07,6.963379031297997e-07,5.862071505974677e-17,0,0
11,2,0,1,0.6571371335087198,-0.009529533157946801,-3.165176629421618e-05,-3.330570445422983e-05,1.6539381599847715e-06,2.8880435369582624e-17,0,0
11,1,2,1,0.8336164764905387,0.1669498098238721,1.2928064992367982e-05,0.0,1.2928064992405977e-05,3.7994509882038896e-17,1,1
11,0,2,1,0.6023993150918743,-0.06426735157479235,-0.002994251935394765,-0.0029290756903260716,-6.517624506880028e-05,1.0711917464156784e-16,0,0
11,0,0,1,0.7431303700998264,0.07646370343315978,-0.00012098466093246607,-0.00011839834753422158,-2.5863133983057406e-06,6.124387021827493e-17,0,0
11,3,2,1,0.7476232398994321,0.0809565732327655,-0.002795092527806353,-0.002795092527806365,0.0,1.1709383462843448e-17,0,0
11,0,1,1,0.7244328826140689,0.05776621594740228,-3.181046891614914e-05,-3.214141606645842e-05,3.309471502767477e-07,3.25396177017212e-17,0,0
11,2,0,1,0.8183713437450052,0.15170467707833857,-0.00044625812123871844,-0.0004117745879289066,-3.448353330981266e-05,8.131516293641283e-19,0,0
11,0,1,1,0.7758610572493312,0.10919439058266456,-0.0011009904397324966,-0.0011181312859308366,1.714084619828362e-05,5.637851296924623e-17,0,0
